Description	Price	Prime	Url	Ratings
Computer portatile da 15,6 pollici, CPU Intel N3350, Windows 10 Pro OS,4 GB RAM 64 GB SSD, Full HD 1920 x 1080	298,00 €	1	/Computer-portatile-pollici-Intel-Windows/dp/B08KFZNGGH/ref=sr_1_1?dchild=1&keywords=computer&qid=1604664192&sr=8-1	-1
PC DELL 7010 SFF Intel Core i5 3470 3.20Ghz/RAM 8GB/500GB/DVD+RW/WIN 10 PRO (Ricondizionato)	167,99 €	0	/DELL-Intel-3-20Ghz-500GB-Ricondizionato/dp/B07RK9N3WM/ref=sr_1_2?dchild=1&keywords=computer&qid=1604664192&sr=8-2	4,3
Laptop da 14 pollici (Intel Celeron a 64 bit, 4 GB di RAM DDR3, 64 GB di eMMC, batteria da 10000 Mah, webcam HD, sistema operativo Windows 10 preinstallato, display IPS 1366 * 768 FHD) Notebook	254,99 €	1	/pollici-batteria-operativo-preinstallato-Notebook/dp/B08BHRW3KB/ref=sr_1_3?dchild=1&keywords=computer&qid=1604664192&sr=8-3	2,2
HUAWEI MateBook 14 Laptop, Ultrabook DisplayFullView 2K , AMD Ryzen 7 4800H, 16GB RAM, SSD da 512GB PCIe , Fingerabdrucksensor, Huawei Share, Windows 10 Home, Space Gray, KelvinL-WFE9B	1.099,00 €	1	/HUAWEI-Ultrabook-DisplayFullView-Fingerabdrucksensor-KelvinL-WFE9B/dp/B08J83G2M8/ref=sr_1_4?dchild=1&keywords=computer&qid=1604664192&sr=8-4	4,3
"Acer Chromebook 314 CB314-1H-C2W1 Notebook, Pc Portatile con Processore Intel Celeron N4000, Ram 4GB DDR4, eMMC 64 GB, Display 14"" Full HD LED LCD, Scheda Grafica Intel, Chrome OS, Silver, [CB]"	349,00 €	1	/Acer-Chromebook-CB314-1H-C2W1-Portatile-Processore/dp/B0855696F5/ref=sr_1_5?dchild=1&keywords=computer&qid=1604664192&sr=8-5	4,3
Pc portatile 14 Pollici TECLAST F7S Computer Portatile Intel Celeron N3350,128 GB SSD, 8 GB RAM, 4K, 1920 x 1080, Windows 10 Grigio	294,99 €	1	/portatile-TECLAST-F7S-Computer-Portatile/dp/B089QDVXYB/ref=sr_1_6?dchild=1&keywords=computer&qid=1604664192&sr=8-6	3,7
"Lenovo IdeaPad Slim 1 Notebook, Display 14"" HD, Processore AMD A4-9120e, 64 GB eMMC 5.1, RAM 4 GB, Windows 10, Platinum Grey"	0 €	0	/Lenovo-Notebook-Processore-A4-9120e-Platinum/dp/B089NXQXWD/ref=sr_1_7?dchild=1&keywords=computer&qid=1604664192&sr=8-7	4,1
HP – PC 15s-eq0021nl Notebook, AMD Ryzen 3, RAM 8 GB, SSD 256 GB, Grafica AMD Radeon Vega 3, Windows 10 Home S, Schermo 15” FHD SVA Antiriflesso, Micro-Edge, Fast Charge, Lettore SD/Micro SD, Argento	0 €	0	/HP-eq0021nl-Notebook-Antiriflesso-Micro-Edge/dp/B082YMS5Q1/ref=sr_1_8?dchild=1&keywords=computer&qid=1604664192&sr=8-8	4,4
"ACEPC AK1 Mini PC,Windows 10(64 bit) Computer desktop Intel Celeron Apollo Lake J3455 (fino a 2,3GHz) Computer desktop[8GB/120GB/Supporto SSD da 2,5""/ SSD mSATA/Doppio WiFi/Gigabit Ethernet/BT 4.2/4K]"	249,90 €	1	/ACEPC-AK1-Computer-Supporto-Ethernet/dp/B07SKGGGP7/ref=sr_1_9?dchild=1&keywords=computer&qid=1604664192&sr=8-9	4,4
"Lenovo IdeaPad Flex 5 Notebook Convertibile, Display 14"" Full HD Touch, Processore Intel Core i5-1035G1, 512 GB SSD, RAM 8 GB, Fingerprint, Lenovo Digital Pen, Windows 10, Graphite Grey"	899,99 €	1	/Lenovo-Convertibile-Processore-i5-1035G1-Fingerprint/dp/B089NWXD2L/ref=sr_1_10?dchild=1&keywords=computer&qid=1604664192&sr=8-10	4,2
"HUAWEI MateBook D 15.6"" Laptop, Processore AMD Ryzen 5 3500U, 8 GB RAM, 256 GB SSD, Schermo FullView 1080P FHD, Collaborazione multi-schermo, Sensore impronte digitali, Windows 10 Home, Argento"	0 €	0	/HUAWEI-MateBook-Processore-Collaborazione-multi-schermo/dp/B0842Q5L56/ref=sr_1_11?dchild=1&keywords=computer&qid=1604664192&sr=8-11	4,5
"Acer Nitro 5 AN515-54-72FF Notebook Gaming, Processore Intel Core i7-9750H, RAM 16 GB DDR4, 1024GB PCIe NVMe SSD, Display 15.6"" FHD IPS 60 Hz LCD, Nvidia GeForce GTX 1650 4GB GDDR5, Windows 10 Home"	1.299,00 €	1	/Acer-AN515-54-72FF-Notebook-Processore-i7-9750H/dp/B084XLGBKV/ref=sr_1_12?dchild=1&keywords=computer&qid=1604664192&sr=8-12	4,3
Jumper EZbook X3 Microsoft Office 365 Giorno (13,3Pollice/ FHD) il computer portatile (Intel Dual Core, 4GB DDR3 RAM, 64GB SSD, Intel HD Grafik 500, Bluetooth 4.2，Windows 10)Argento	269,99 €	1	/EZbook-X3-Microsoft-portatile-4-2%EF%BC%8CWindows/dp/B08997LNDF/ref=sr_1_13?dchild=1&keywords=computer&qid=1604664192&sr=8-13	4,2
Easy to Learn, Hard to Master - The Fate of Atari	0 €	0	/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.2ab560fc-d8c5-3daa-5a33-9152585c472e%26ref_%3Ddvm_src_ret_it_xx_s&page-type-id=B07WQYRHK6&ref=sr_1_14&keywords=computer&qid=1604664192&sr=8-14	4,5
Yizhet Hub USB 3.0 4 Porte Ultrasottile Hub USB con Cavo Esteso da 1M per MacBook Air, Mac PRO/Mini, Windows 10/8.1/8/7/XP, Vista -Trasmissione Dati Alta velocità (5 Gbps)	11,89 €	1	/Yizhet-Ultrasottile-MacBook-Trasmissione-velocit%C3%A0/dp/B08KQ2YZBC/ref=sr_1_15?dchild=1&keywords=computer&qid=1604664192&sr=8-15	-1
"Acer Swift 1 SF114-32-P4X8 Argento Computer Portatile 35,6 cm (14"") 1920 x 1080 Pixel Intel® Pentium® Silver 4 GB DDR4-SDRAM 256 GB SSD Windows 10 Home Swift 1 Swift 1 SF114-32-P4X8 N5000"	649,75 €	1	/Acer-SF114-32-P4X8-Computer-Portatile-DDR4-SDRAM/dp/B07W67C5WS/ref=sr_1_16?dchild=1&keywords=computer&qid=1604664192&sr=8-16	5,0
AXUF 1080P HD Webcam può Essere piegata in Base allo Spessore del Computer, Copertura per la Privacy con videocamera per Microfono, treppiede, Laptop, Computer, videocamera Plug And Play Desktop	33,99 €	1	/AXUF-Copertura-videocamera-Microfono-treppiede/dp/B08MBQY8YG/ref=sr_1_21?dchild=1&keywords=computer&qid=1604664192&sr=8-21	4,5
Hp 255 G7 Notebook HP Display da 15.6”, CPU AMD A4-9125, Ram 4Gb DDR4 SSD M.2 256 Gb, Radeon R3, Pc portatile HP, HDMI, DVD CD RW, Wi Fi,Bluetooth, Windows 10 Professional	0 €	0	/255-G7-HP-portatile-Professional/dp/B086C38DDK/ref=sr_1_22?dchild=1&keywords=computer&qid=1604664192&sr=8-22	4,3
Chuwi CoreBook Pro Laptop Ultrabook 13 pollici Win 10 Notebook Portatile Intel Core i3-6157U fino a 2,4 GHz 8 GB RAM 256 GB SSD 2160 * 1440 2K, Type-C 2.4G/5G WiFi	459,00 €	1	/CoreBook-Pro-Ultrabook-Notebook-Portatile/dp/B08JPMVKKN/ref=sr_1_23?dchild=1&keywords=computer&qid=1604664192&sr=8-23	1,0
PC Computer Desktop Gaming Entry Level Fujitsu Esprimo P710 Windows 10 Professional Intel Core i5-3470S Memoria Ram 8GB DDR3 Hard Disk 500GB DVD-ROM USB 3.0 GeForce GT710 2GB (Ricondizionato)	199,50 €	0	/Computer-Fujitsu-Professional-i5-3470S-Ricondizionato/dp/B08284CQ68/ref=sr_1_24?dchild=1&keywords=computer&qid=1604664192&sr=8-24	4,4
"Lenovo IdeaPad Slim 1 Notebook, Display 14"" HD, Processore AMD A9-9420e, 128 GB SSD, RAM 4 GB, Windows 10, Ice Blue"	0 €	0	/Lenovo-IdeaPad-Notebook-Processore-A9-9420e/dp/B089NVXVMH/ref=sr_1_25?dchild=1&keywords=computer&qid=1604664192&sr=8-25	3,6
"HP - PC Chromebook 14a-na0005nl, Intel Pentium Silver N5000, RAM 4 GB, eMMC 64 GB, Sistema Operativo Chrome OS, Google Play Store, Schermo FHD 14"", Audio Bang&Olufsen, USB-C, Webcam, Argento [CB]"	429,99 €	1	/HP-Chromebook-14a-na0005nl-Pentium-Operativo/dp/B087GJY7MK/ref=sr_1_26?dchild=1&keywords=computer&qid=1604664192&sr=8-26	5,0
"Acer Aspire A314-22-R6J1 - Computer portatile Acer Aspire da 14,0"", AMD Ryzen 3 3250U (Dali), Intel HD Graphics 4 GB DDR4 128 GB PCIe NVMe SSD NX.A0WEF.005, colore: Nero"	428,56 €	1	/Acer-Aspire-A314-22-R6J1-portatile-NX-A0WEF-005/dp/B08BCSKKVP/ref=sr_1_27?dchild=1&keywords=computer&qid=1604664192&sr=8-27	5,0
"HP - PC Pavilion 15-cw1085nl Notebook, AMD Ryzen 5 3500U, RAM 8 GB, SSD 512 GB, Grafica AMD Radeon Vega 8, Windows 10 Home, Schermo 15.6"" FHD IPS, Lettore Micro SD, HDMI, USB-C, RJ-45, Webcam, Argento"	0 €	0	/HP-Pavilion-15-cw1085nl-Notebook-Grafica/dp/B089QW292H/ref=sr_1_28?dchild=1&keywords=computer&qid=1604664192&sr=8-28	4,4
"Acer Aspire 5 A515-54-P1VY Computer portatile Argento 39,6 cm (15.6"") 1920 x 1080 Pixel Intel Pentium Gold 8 GB DDR4 256 GB SSD Wi-Fi 6, Windows 10 Home S , TASTIERA TEDESCA"	530,41 €	1	/Acer-A515-54-P1VY-Computer-portatile-TASTIERA/dp/B08C7GKP2P/ref=sr_1_29?dchild=1&keywords=computer&qid=1604664192&sr=8-29	-1
"HP-PC Pavilion 14-ce3034nl Notebook, Intel Core i5-1035G1, RAM 8 GB, SSD 512 GB, Grafica UHD Intel, Windows 10 Home, Schermo 14"" FHD Antiriflesso, Lettore Impronte Digitali, Lettore Micro SD, Argento"	0 €	0	/Pavilion-14-ce3034nl-Notebook-i5-1035G1-Antiriflesso/dp/B082YN4W9N/ref=sr_1_30?dchild=1&keywords=computer&qid=1604664192&sr=8-30	4,3
Tablet PC 7 Pollici,Computer portatile Quad Core Con Tastiera e Penna, Tableta memoria RAM da 512MB + 8GB,Fotocamera integrata Dual Camera,WIFI,Bluetooth (Rosa)	59,99 €	0	/Computer-portatile-Fotocamera-integrata-Bluetooth/dp/B07T96DWZ9/ref=sr_1_31?dchild=1&keywords=computer&qid=1604664192&sr=8-31	2,9
HP Elite 8300 – computer Desktop (Intel Core i7 – 3770, GB di RAM, disco SSD GB + GB HDD, lettore DVD, sistema operativo Windows 10 Pro è 64) – Nero (Ricondizionato)	243,90 €	0	/HP-computer-Desktop-operativo-Ricondizionato/dp/B07NGM8KPC/ref=sr_1_32?dchild=1&keywords=computer&qid=1604664192&sr=8-32	4,4
Mini PC Beelink Gemini T34,Windows 10(64 bit) Computer desktop Intel Celeron N3450 RAM 8GB/128GB Support Dual System(Windows Ubuntu)/ SSD mSATA/Dual WiFi/BT 4.0	235,70 €	0	/Beelink-PC%EF%BC%8CWindows-Computer-desktop-Celeron/dp/B07YTGYXCK/ref=sr_1_33?dchild=1&keywords=computer&qid=1604664192&sr=8-33	4,5
PC Computer Desktop Fujitsu Esprimo E720, Windows 10 Professional, Intel Core i5-4570, Memoria Ram 8GB DDR3, SSD 480GB, DVD-ROM, WIFI (Ricondizionato)	198,99 €	0	/Computer-Desktop-Fujitsu-Professional-Ricondizionato/dp/B08KXYQSWH/ref=sr_1_34?dchild=1&keywords=computer&qid=1604664192&sr=8-34	5,0
PC DELL 7010 SFF Intel Core i5 3470 3.20Ghz/RAM 8GB/480GB SSD/DVD+RW/WIN 10 PRO (Ricondizionato)	206,50 €	0	/DELL-Intel-3-20Ghz-480GB-Ricondizionato/dp/B07RR23WR2/ref=sr_1_35?dchild=1&keywords=computer&qid=1604664192&sr=8-35	4,6
"LENOVO Notebook Essential V145-15AST Monitor 15.6"" HD AMD A4-9125 Ram 4GB SSD 256GB 2xUSB 3.0 Free Dos"	0 €	0	/Lenovo-NOTEBOOK-V145-15AST-A4-9125/dp/B07YYDTLB4/ref=sr_1_36?dchild=1&keywords=computer&qid=1604664192&sr=8-36	4,0
Singularity	0 €	0	/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.38b9dcea-a29a-e06a-eab0-d806769e1474%26ref_%3Ddvm_src_ret_it_xx_s&page-type-id=B08F7ZRZML&ref=sr_1_37&keywords=computer&qid=1604664192&sr=8-37	3,8
BMAX Y13 Notebook 2 in 1 Touchscreen Convertible Laptop 13.3 pollici 1920x1080 FHD Blacklit Keyboard (Intel Quad Core N4120, 8GB RAM, 256GB SSD, Windows 10 Home) Type C	449,00 €	1	/Y13-Notebook-Convertible-Touchscreen-1920x1080/dp/B07XT5ZSJD/ref=sr_1_38?dchild=1&keywords=computer&qid=1604664192&sr=8-38	4,1
PC RICONDIZIONATO DELL 7010 SFF Intel Core i5 3470 3.20Ghz/RAM 8GB/SSD 240GB/DVD+RW/LICENZA WIN 10 PRO MAR (Ricondizionato) )	161,90 €	0	/RICONDIZIONATO-3-20Ghz-LICENZA-Ricondizionato-Certificato/dp/B07H2GM4K5/ref=sr_1_39?dchild=1&keywords=computer&qid=1604664192&sr=8-39	4,5
Portatile HP 14s-fq0071nf Bianco AMD 3020e dual 4GB HDD 128 GB AMD Radeon Integrated Graphics 14''HD slim SVA Narrow Border Win10H-MS 1Q9J0EA#A	0 €	0	/Portatile-HP-14s-fq0071nf-Integrated-Win10H-MS/dp/B08D9VLBP4/ref=sr_1_40?dchild=1&keywords=computer&qid=1604664192&sr=8-40	3,9
Beelink BT3 Pro II Mini PC Support Windows 10, Intel Atom x5-Z8350 Processor 4GB Ram 64GB Rom Graphics HD 400, 1000Mbps LAN MINI Computer con 5.8G+2.4G WiFi HDMI+VGA Outputs/Bluetooth 4.0/USB 3.0	126,99 €	1	/SeeKool-x5-Z8350-Processor-Graphics-Bluetooth/dp/B07CQGRZKF/ref=sr_1_41?dchild=1&keywords=computer&qid=1604664192&sr=8-41	4,3
"ASUS Chromebook C423NA-EB0287, Notebook in alluminio con Monitor 14"" FHD Anti-Glare, Intel Celeron N3350, RAM 4GB LPDDR4, 64G eMMC, Sistema operativo Chrome, Argento [CB]"	316,13 €	0	/ASUS-Chromebook-C423NA-EB0287-alluminio-Anti-Glare/dp/B086TLPRXF/ref=sr_1_42?dchild=1&keywords=computer&qid=1604664192&sr=8-42	3,8
Mini PC, Intel Pentium J3710 Processore Quad-Core CPU 4 GB DDR / 128 GB SSD Mini Desktop Computer con Windows 10, HDMI e VGA, Dual Band WiFi 2,4 + 5,8 G, BT 4.2, USB 3.0	189,99 €	1	/Pentium-Processore-Quad-Core-Desktop-Computer/dp/B08H816MBC/ref=sr_1_43?dchild=1&keywords=computer&qid=1604664192&sr=8-43	4,7
Notebook Lenovo cpu A4 di 7th Gen fino a 2,6GHz ,Hd Led da 15,6 4Gb DDR 4, SSD da 256Gb , Svga Radeon R3, Wi-fi, Lan, Bt, Win10 Professional , Antivirus, Pronto All'uso Garanzia Italia 2 anni	0 €	0	/Notebook-Lenovo-Professional-Antivirus-Garanzia/dp/B07T8MFRZ5/ref=sr_1_44?dchild=1&keywords=computer&qid=1604664192&sr=8-44	3,9
VESSTT Webcam per PC, Full HD 1080P Videocamera con Microfono PC Laptop Desktop Computer USB 2.0 Full HD Videocamera con Clip Regolabile per Videochiamata, Studi, Conferenze, Registrazione e Giochi	29,99 €	1	/VESSTT-Videocamera-Regolabile-Videochiamata-Registrazione/dp/B08K3FHDMD/ref=sr_1_45?dchild=1&keywords=computer&qid=1604664192&sr=8-45	4,6
